original_probe_id	new_probe_id	gene_name	gene_symbol	composite_group
Fusobacterium_nucleatum_consensus_probe1	Fusobacterium_probe1	Fusobacterium	FUSO	1
Bacteroides_fragilis_consensus_probe1	Bacteroides_probe1	Bacteroides	BACTO	1
Streptococcus_gallolyticus_consensus_probe1	Streptococcus_probe1	Streptococcus	STREP	1
Porphyromonas_gingivalis_consensus_probe1	Porphyromonas_probe1	Porphyromonas	PORPH	1
Alistipes_finegoldii_consensus_probe1	Alistipes_finegoldii_probe1	Alistipes	ALISP	1
